2015-01-13,77,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",1
2015-01-13,77,"Parking Lots (Apt., Commercial Or Non-Commercial)",1
2015-01-13,78,"Parking Lots (Apt., Commercial Or Non-Commercial)",4
2015-01-13,78,"Streets, Roads, Highways (Bicycle Path, Private Road)",3
2015-01-13,79,"Parking Lots (Apt., Commercial Or Non-Commercial)",1
2015-01-14,1,"Parking Lots (Apt., Commercial Or Non-Commercial)",2
2015-01-14,10,"Single Home, House (Attach Garage, Cottage, Mobile)",1
2015-01-14,114,"Single Home, House (Attach Garage, Cottage, Mobile)",1
2015-01-14,122,Go Station,1
2015-01-14,122,"Single Home, House (Attach Garage, Cottage, Mobile)",1
2015-01-14,128,"Parking Lots (Apt., Commercial Or Non-Commercial)",1
2015-01-14,133,"Parking Lots (Apt., Commercial Or Non-Commercial)",1
2015-01-14,135,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",1
2015-01-14,135,"Parking Lots (Apt., Commercial Or Non-Commercial)",1
2015-01-14,14,"Parking Lots (Apt., Commercial Or Non-Commercial)",1
2015-01-14,27,"Single Home, House (Attach Garage, Cottage, Mobile)",1
2015-01-14,3,"Single Home, House (Attach Garage, Cottage, Mobile)",1
2015-01-14,32,"Single Home, House (Attach Garage, Cottage, Mobile)",1
2015-01-14,35,"Parking Lots (Apt., Commercial Or Non-Commercial)",1
2015-01-14,36,"Parking Lots (Apt., Commercial Or Non-Commercial)",2
2015-01-14,50,"Parking Lots (Apt., Commercial Or Non-Commercial)",1
2015-01-14,52,"Parking Lots (Apt., Commercial Or Non-Commercial)",1
2015-01-14,63,"Parking Lots (Apt., Commercial Or Non-Commercial)",1
2015-01-14,70,"Parking Lots (Apt., Commercial Or Non-Commercial)",1
2015-01-14,75,"Parking Lots (Apt., Commercial Or Non-Commercial)",1
2015-01-14,76,"Parking Lots (Apt., Commercial Or Non-Commercial)",1
2015-01-14,77,"Apartment (Rooming House, Condo)",1
2015-01-14,78,"Parking Lots (Apt., Commercial Or Non-Commercial)",2
